Problema,n,K,m,Z,S,CPU,generated nodes
max_div_15_2.txt,15,2,2,47.695225557615245,[8.65 9.11 3.23 9.98],0.2383406999942963,241
max_div_15_2.txt,15,2,3,83.94040640516141,[8.65 9.98 9.11 3.23 9.96],15.89496230000077,2836
max_div_15_3.txt,15,3,2,76.20284384115894,[0.3  0.46 4.48 6.17 0.92],0.22390660000382923,241
max_div_15_3.txt,15,3,3,117.72562150128292,[0.3  0.92 0.46 4.48 6.17 4.23],15.763373100002354,2881
max_div_20_2.txt,20,2,2,31.50436937156752,[0.63 5.43 5.9  5.96],0.6988242000006721,421
max_div_20_2.txt,20,2,3,93.49795776361219,[8.57 8.36 5.43 5.9  0.63],71.26697540000168,6481
max_div_20_3.txt,20,3,2,96.63658681614359,[9.81 4.84 9.69 4.9  2.05],0.7273561999973026,421
max_div_20_3.txt,20,3,3,158.60724459876357,[9.81 2.05 4.84 9.69 4.9  1.83],86.59299699999974,6621
max_div_30_2.txt,30,2,2,30.755205260755126,[9.84 9.32 5.14 8.96],3.342209099995671,931
max_div_30_2.txt,30,2,3,102.60274501432197,[9.84 8.96 9.32 5.14 1.91],923.4455135000026,21631
max_div_30_3.txt,30,3,2,96.28378179495058,[8.06 0.92 3.37 5.61 9.59],3.4512718000041787,931
max_div_30_3.txt,30,3,3,170.105725269496,[8.06 9.59 0.92 3.37 5.61 0.27],964.8220699000012,21631
