Problema,n,K,m,z,S,CPU
max_div_15_2.txt,15,2,2,5.929607912838757,"{8, 6}",0.00047620000077586155
max_div_15_2.txt,15,2,3,5.3006370870936115,"{8, 3, 6}",0.00041000000055646524
max_div_15_2.txt,15,2,4,5.669683368633662,"{8, 10, 3, 6}",0.0003020000003743917
max_div_15_3.txt,15,3,2,6.636619998161715,"{8, 11}",0.00018219999947177712
max_div_15_3.txt,15,3,3,5.939689326498297,"{8, 11, 4}",0.000267100000201026
max_div_15_3.txt,15,3,4,6.3747621102154755,"{8, 10, 11, 4}",0.00033149999944726005
max_div_20_2.txt,20,2,2,4.255164509158254,"{17, 18}",0.00025270000151067507
max_div_20_2.txt,20,2,3,4.255107862710106,"{8, 17, 18}",0.0002815000007103663
max_div_20_2.txt,20,2,4,4.303529714227764,"{8, 17, 18, 2}",0.0003766999998333631
max_div_20_3.txt,20,3,2,5.900154658989881,"{12, 13}",0.0002511000002414221
max_div_20_3.txt,20,3,3,5.946977947838604,"{12, 13, 7}",0.0002879999992728699
max_div_20_3.txt,20,3,4,5.81652697416278,"{2, 12, 13, 7}",0.00035290000050736126
max_div_30_2.txt,30,2,2,5.828571866246483,"{8, 27}",0.00027520000003278255
max_div_30_2.txt,30,2,3,5.560425681497381,"{8, 1, 27}",0.00036840000029769726
max_div_30_2.txt,30,2,4,5.462751370687977,"{8, 1, 10, 27}",0.0004594000001816312
max_div_30_3.txt,30,3,2,6.53686851634634,"{16, 6}",0.00026729999990493525
max_div_30_3.txt,30,3,3,6.514082093037157,"{16, 6, 23}",0.0003687999997055158
max_div_30_3.txt,30,3,4,6.544033709130587,"{16, 13, 6, 23}",0.00046320000001287553
