Problema,n,K,m,Iter,|LRC|,z,S,CPU
max_div_15_2.txt,15,2,2,10,2,3.7154071109368356,"{[4.04 3.97], [8.41 9.98]}",0.05486710000150197
max_div_15_2.txt,15,2,2,10,3,3.3118495024449524,"{[1.35 7.11], [9.96 8.17], [9.11 3.23], [8.41 9.98], [7.5  6.81]}",0.05006110000067565
max_div_15_2.txt,15,2,2,20,2,3.3118495024449524,"{[1.35 7.11], [9.96 8.17], [9.11 3.23], [8.41 9.98], [7.5  6.81]}",0.10666709999895829
max_div_15_2.txt,15,2,2,20,3,3.3118495024449524,"{[1.35 7.11], [9.96 8.17], [9.11 3.23], [8.41 9.98], [7.5  6.81]}",0.09461489999921469
max_div_15_2.txt,15,2,3,10,2,3.709962937820269,"{[7.14 6.28], [0.46 3.05]}",0.04701489999933983
max_div_15_2.txt,15,2,3,10,3,3.2245446520815557,"{[1.35 7.11], [9.71 6.49], [9.11 3.23], [8.41 9.98], [7.5  6.81]}",0.043450499999380554
max_div_15_2.txt,15,2,3,20,2,3.5744253989446286,"{[1.88 3.24], [8.65 9.98], [9.11 3.23], [8.41 9.98], [7.5  6.81]}",0.08866449999914039
max_div_15_2.txt,15,2,3,20,3,3.3118495024449524,"{[1.35 7.11], [9.96 8.17], [9.11 3.23], [8.41 9.98], [7.5  6.81]}",0.08992220000072848
max_div_15_2.txt,15,2,4,10,2,3.7260540084804403,"{[0.16 4.62], [9.96 8.17], [9.11 3.23], [8.41 9.98], [7.5  6.81]}",0.0478664000002027
max_div_15_2.txt,15,2,4,10,3,3.474677613592862,"{[1.88 3.24], [8.41 9.98], [9.11 3.23], [7.5  6.81], [9.96 8.17]}",0.043137900000147056
max_div_15_2.txt,15,2,4,20,2,3.3118495024449524,"{[1.35 7.11], [9.96 8.17], [9.11 3.23], [8.41 9.98], [7.5  6.81]}",0.08633659999941301
max_div_15_2.txt,15,2,4,20,3,3.3118495024449524,"{[1.35 7.11], [9.96 8.17], [9.11 3.23], [8.41 9.98], [7.5  6.81]}",0.0908015000004525
max_div_15_2.txt,15,2,5,10,2,3.3118495024449524,"{[1.35 7.11], [9.96 8.17], [9.11 3.23], [8.41 9.98], [7.5  6.81]}",0.04260989999966114
max_div_15_2.txt,15,2,5,10,3,3.5744253989446286,"{[1.88 3.24], [8.65 9.98], [9.11 3.23], [8.41 9.98], [7.5  6.81]}",0.05377839999891876
max_div_15_2.txt,15,2,5,20,2,3.3118495024449524,"{[1.35 7.11], [9.96 8.17], [9.11 3.23], [8.41 9.98], [7.5  6.81]}",0.10226030000012543
max_div_15_2.txt,15,2,5,20,3,3.6307680714238746,"{[7.14 6.28], [1.59 1.57], [9.11 3.23]}",0.08531219999895256
max_div_15_3.txt,15,3,2,10,2,3.8813979892485064,"{[0.46 4.48 6.17], [9.47 3.56 1.83], [6.32 2.2  4.95], [1.48 2.7  3.63]}",0.057057500000155414
max_div_15_3.txt,15,3,2,10,3,3.8813979892485064,"{[9.47 3.56 1.83], [0.46 4.48 6.17], [6.32 2.2  4.95], [1.48 2.7  3.63]}",0.04958500000066124
max_div_15_3.txt,15,3,2,20,2,3.506348553293751,"{[1.15 9.21 3.11], [1.71 1.95 9.22], [0.46 4.48 6.17]}",0.09738990000005288
max_div_15_3.txt,15,3,2,20,3,3.610047914477828,"{[6.32 2.2  4.95], [1.15 9.21 3.11], [0.46 4.48 6.17], [1.48 2.7  3.63]}",0.10129520000009506
max_div_15_3.txt,15,3,3,10,2,3.610047914477828,"{[6.32 2.2  4.95], [1.15 9.21 3.11], [0.46 4.48 6.17], [1.48 2.7  3.63]}",0.054132100000060746
max_div_15_3.txt,15,3,3,10,3,4.067311765773556,"{[2.48 7.08 4.37], [9.88 9.88 6.26]}",0.04988740000044345
max_div_15_3.txt,15,3,3,20,2,3.506348553293751,"{[1.15 9.21 3.11], [1.71 1.95 9.22], [0.46 4.48 6.17]}",0.10321850000036648
max_div_15_3.txt,15,3,3,20,3,3.591093148332413,"{[2.48 7.08 4.37], [5.17 1.39 0.91]}",0.09750809999968624
max_div_15_3.txt,15,3,4,10,2,3.973757259462842,"{[2.15 2.48 6.87], [6.65 9.45 1.02], [0.46 4.48 6.17], [6.32 2.2  4.95], [1.48 2.7  3.63]}",0.04558949999955075
max_div_15_3.txt,15,3,4,10,3,3.591093148332413,"{[2.48 7.08 4.37], [5.17 1.39 0.91]}",0.05159350000030827
max_div_15_3.txt,15,3,4,20,2,4.067311765773556,"{[2.48 7.08 4.37], [9.88 9.88 6.26]}",0.09769210000013118
max_div_15_3.txt,15,3,4,20,3,3.506348553293751,"{[1.15 9.21 3.11], [1.71 1.95 9.22], [0.46 4.48 6.17]}",0.10171909999917261
max_div_15_3.txt,15,3,5,10,2,3.8813979892485064,"{[0.46 4.48 6.17], [9.47 3.56 1.83], [6.32 2.2  4.95], [1.48 2.7  3.63]}",0.04528310000023339
max_div_15_3.txt,15,3,5,10,3,3.591093148332413,"{[2.48 7.08 4.37], [5.17 1.39 0.91]}",0.04974289999881876
max_div_15_3.txt,15,3,5,20,2,4.067311765773556,"{[2.48 7.08 4.37], [9.88 9.88 6.26]}",0.09985459999916202
max_div_15_3.txt,15,3,5,20,3,3.591093148332413,"{[2.48 7.08 4.37], [5.17 1.39 0.91]}",0.08230980000007548
max_div_20_2.txt,20,2,2,10,2,2.016463342037605,"{[5.58 5.46], [1.16 4.47], [5.43 5.9 ]}",0.03464890000032028
max_div_20_2.txt,20,2,2,10,3,2.185785406500911,"{[6.84 4.82], [3.47 9.43], [5.43 5.9 ]}",0.03807210000013583
max_div_20_2.txt,20,2,2,20,2,2.1029959564874554,"{[5.36 7.06], [8.67 3.17], [5.43 5.9 ]}",0.07302329999947688
max_div_20_2.txt,20,2,2,20,3,2.016463342037605,"{[5.58 5.46], [1.16 4.47], [5.43 5.9 ]}",0.07355769999958284
max_div_20_2.txt,20,2,3,10,2,2.185785406500911,"{[6.84 4.82], [3.47 9.43], [5.43 5.9 ]}",0.03476290000071458
